"Territorial emissions in MtCO₂"
;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;"Antigua and Barbuda";Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;"Bonaire, Saint Eustatius and Saba";"Bosnia and Herzegovina";Botswana;Brazil;"British Virgin Islands";"Brunei Darussalam";Bulgaria;"Burkina Faso";Burundi;Cambodia;Cameroon;Canada;"Cape Verde";"Cayman Islands";"Central African Republic";Chad;Chile;China;Colombia;Comoros;Congo;"Cook Islands";"Costa Rica";"Côte d'Ivoire";Croatia;Cuba;Curaçao;Cyprus;"Czech Republic";"Democratic Republic of the Congo";Denmark;Djibouti;Dominica;"Dominican Republic";Ecuador;Egypt;"El Salvador";"Equatorial Guinea";Eritrea;Estonia;Ethiopia;"Faeroe Islands";"Falkland Islands (Malvinas)";Fiji;Finland;France;"French Guiana";"French Polynesia";Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;"Hong Kong";Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kosovo;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;"Marshall Islands";Martinique;Mauritania;Mauritius;Mexico;"Micronesia (Federated States of)";Moldova;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;"New Caledonia";"New Zealand";Nicaragua;Niger;Nigeria;Niue;"North Korea";"North Macedonia";Norway;"Occupied Palestinian Territory";Oman;Pakistan;Palau;Panama;"Papua New Guinea";Paraguay;Peru;Philippines;Poland;Portugal;Qatar;"Republic of South Sudan";Réunion;Romania;"Russian Federation";Rwanda;"Saint Helena";"Saint Kitts and Nevis";"Saint Lucia";"Saint Pierre and Miquelon";"Saint Vincent and the Grenadines";Samoa;"Sao Tome and Principe";"Saudi Arabia";Senegal;Serbia;Seychelles;"Sierra Leone";Singapore;Slovakia;Slovenia;"Solomon Islands";Somalia;"South Africa";"South Korea";Spain;"Sri Lanka";Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Tonga;"Trinidad and Tobago";Tunisia;Turkey;Turkmenistan;"Turks and Caicos Islands";Tuvalu;Uganda;Ukraine;"United Arab Emirates";"United Kingdom";"United States of America";Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;"Wallis and Futuna Islands";"Western Sahara";Yemen;Zambia;Zimbabwe
1987;3.1144;7.4379;83.8835;;5.786;;0.2748;114.8783;19.4133;0.44701;255.8502;57.3751;55.4359;1.4216;11.4207;11.7997;0.94177;120.8916;102.5898;0.22717;0.51719;0.57158;0.10259;4.0118;0.12145;19.0575;1.2384;205.7887;0.062288;3.3159;91.2732;0.51662;0.24915;0.43602;1.843;430.9217;0.080608;;0.26014;0.19786;22.394;2191.053;50.124;0.047632;1.3201;0.021984;2.7239;7.35;20.5885;33.7334;2.3075;4.1841;183.658;3.8159;58.3455;0.38838;0.047632;9.6873;15.0223;74.6135;2.4145;0.098928;;34.8;2.5544;0.4983;;0.472;57.5337;379.7093;;0.61189;4.0095;0.17954;29.4872;1032.4338;3.2636;;62.5756;0.2345;0.07328;;3.9184;0.99294;0.19419;1.308;0.89879;2.1485;28.0856;84.1365;1.8434;455.8911;123.8789;158.6074;52.1838;30.2254;27.0687;380.0992;5.3793;902.5328;9.506;241.5543;5.0759;0.021984;;31.3779;22.4591;0.21251;17.9616;7.6704;;0.75846;32.3483;;34.0198;8.8351;0.97096;1.2824;0.54071;40.8772;0.080608;0.3575;1.854;;;3.2426;0.93066;306.1944;;29.0074;10.4825;1.8823;0.029312;20.0825;0.97675;4.9434;;0.15755;0.86068;151.4805;1.4545;24.1654;2.431;0.99766;59.0244;0.003664;175.6187;13.9394;33.4575;;9.4018;52.9885;;3.1796;2.334;1.8774;25.6642;32.4958;463.7326;31.1986;11.4705;0.27888;;211.6316;2347.9122;0.61138;0.003664;0.05496;0.14656;0.051296;0.076944;0.11358;0.051296;190.4437;2.4246;55.2231;0.20152;0.4983;32.4605;58.8684;15.5792;0.16122;0.99294;328.696;192.9399;189.5075;4.0269;3.0612;1.7568;0.43602;59.6956;40.2041;35.9429;97.1234;10.7925;2.3675;56.3062;;0.92262;0.05496;17.4891;11.6633;128.4426;43.901;;;0.76857;707.3431;47.4504;571.6685;4680.8341;3.5425;117.0915;0.047632;110.6611;24.096;;;8.6267;2.6738;15.1701
1988;2.8575;7.3207;83.708;;5.0493;;0.28579;121.4059;19.9355;0.61189;260.8788;52.9385;56.9194;1.5389;12.1426;13.4784;0.94547;124.1034;99.7441;0.24915;0.53805;0.64486;0.10992;4.2868;0.11963;19.6644;1.3007;207.563;0.065952;5.7122;86.9133;0.55326;0.22717;0.45067;2.154;455.608;0.07328;;0.23083;0.065952;26.5798;2347.7635;52.0174;0.051296;1.4929;0.021984;2.9059;8.8046;21.2505;35.3987;2.273;4.1966;180.6114;3.978;55.1114;0.34808;0.05496;9.7398;17.1686;74.3095;2.4331;0.10626;;35.743;2.6401;0.52762;;0.54977;52.0584;374.6746;;0.57525;4.3207;0.1832;30.2735;1029.0143;3.4112;;67.0511;0.54594;0.095264;;4.0753;1.0259;0.21618;1.4033;1.0077;2.4699;29.2848;78.0548;1.8394;492.288;132.7217;175.1078;67.1274;29.8825;29.7024;385.963;4.5258;985.4671;9.177;247.8811;4.69;0.021984;;32.8251;23.0581;0.21251;18.4471;7.3457;;0.80918;36.1604;;34.9605;9.1267;0.96363;1.2858;0.5372;42.8687;0.095264;0.38303;2.0115;;;3.184;0.85371;305.8494;;29.7816;11.4928;1.9422;0.029312;21.1392;1.0062;4.0867;;0.15755;0.97597;145.603;1.5012;25.4495;2.24;0.98703;70.4213;0.003664;200.8081;14.3836;35.8789;;10.5166;57.6074;;2.9147;2.1984;2.1447;24.9858;37.4847;444.23;32.5679;11.8977;0.40337;;212.2216;2410.6272;0.69227;0.007328;0.065952;0.16488;0.065952;0.065952;0.11358;0.047632;202.2477;2.7108;56.9738;0.19786;0.458;35.9492;57.922;16.147;0.15755;1.0037;342.6964;222.3078;197.4572;3.4566;4.4298;1.8739;0.43602;57.426;40.6612;36.6791;111.8178;11.0807;2.2717;66.2029;;0.96091;0.069616;15.8331;12.3768;124.728;45.0702;;;0.86287;726.1392;48.0956;570.2949;4885.5905;4.786;120.1952;0.065952;115.7518;23.0087;;;9.5502;3.109;16.0295
1989;2.7655;8.9768;79.8083;;4.9227;;0.28579;117.0213;19.4961;0.64853;277.4856;53.6976;55.6526;1.9456;11.7167;13.3824;0.98952;121.3119;106.7935;0.30045;0.60965;0.78043;0.062288;4.9684;0.22773;19.604;1.429;212.1136;0.065952;6.3424;86.4822;0.82074;0.26747;0.45067;7.5777;462.8177;0.080608;;0.24915;0.10259;31.9951;2386.885;52.7928;0.051296;1.4956;0.021984;2.9333;8.266;21.1838;35.513;4.3269;4.4285;172.3122;4.352;48.8077;0.38838;0.058624;10.2579;20.1537;71.9046;2.5472;0.11725;;34.9376;2.7941;0.57891;;0.6252;52.4483;392.9246;;0.54227;5.7575;0.17954;29.5963;1008.7815;3.295;;73.23;0.47266;0.10259;;4.1882;1.0442;0.23083;1.1835;1.0231;2.6856;30.1412;75.9172;1.8948;541.2893;131.6742;190.098;72.2418;30.0599;31.394;404.7427;6.7245;1021.6848;9.0798;242.1091;5.0885;0.021984;;35.7716;22.5428;0.23083;18.0438;7.7208;;0.65959;37.0685;;34.2341;9.8758;1.0296;0.9258;0.55821;50.0832;0.12458;0.41588;2.1691;;;2.803;1.0516;360.5553;;29.1156;10.459;1.9363;0.029312;22.8796;1.0345;4.4253;;0.15755;0.89356;161.6645;1.6395;25.4534;1.4683;1.0382;42.1194;0.003664;213.0715;14.3397;34.4416;;9.9857;60.3166;;2.5103;2.0335;2.2245;21.7319;38.9065;422.1751;40.8226;14.2924;0.31275;;213.5994;2356.6303;0.6842;0.007328;0.065952;0.16488;0.10259;0.076944;0.12091;0.047632;203.4192;3.6619;56.7923;0.2345;0.37373;41.7087;55.2857;16.067;0.16122;0.95207;340.7527;236.2482;224.8846;3.447;3.4308;1.8518;0.43602;55.5218;39.4176;34.2713;121.6922;10.8333;2.1616;77.7842;;1.0214;0.069616;16.105;13.1404;137.5705;44.0591;;;0.80048;709.7377;54.1861;581.5773;4948.0212;4.8526;117.4423;0.062288;108.5711;17.326;;;9.9351;2.57;16.1137
1990;2.6032;5.4447;76.7366;0.4067;5.0887;0.051296;0.21984;112.0791;18.2119;0.48731;278.4247;62.1247;51.9472;1.8393;12.4054;14.0819;1.0702;103.6897;120.3093;0.31144;0.68068;0.50197;0.12824;5.7268;0.24388;19.4137;2.7004;206.9211;0.065952;6.1885;76.699;0.58258;0.20885;1.2604;0.62663;462.1174;0.095264;;0.19786;0.37739;32.8822;2420.7894;56.8977;0.062288;1.0072;0.03664;2.912;4.7815;23.3292;32.7356;4.6337;4.6569;164.2042;4.2499;53.5528;0.32243;0.058624;9.1517;16.4578;75.2189;2.4745;0.062288;;36.9072;2.9858;0.70349;;0.80604;56.9719;400.9833;;0.43968;4.4854;0.19786;27.629;1052.3485;3.7915;;83.4255;0.34808;0.10626;;4.9702;1.0039;0.17221;1.1285;0.99436;2.4227;27.1471;73.4649;2.2478;578.6838;150.2859;209.2383;49.0568;32.9443;35.8231;438.0088;7.5271;1158.3913;10.4779;281.214;5.6861;0.021984;;37.8058;21.1073;0.51296;19.5041;7.8679;1.4729;0.46814;36.513;0.19897;35.7718;11.8476;1.0332;0.92916;0.73902;55.2772;0.17221;0.42309;2.4085;;;0.85371;1.4619;317.0424;;27.779;9.89;1.9155;0.029312;22.5276;1.0152;4.2348;;0.12458;0.76674;162.3851;1.5768;25.4463;1.9552;0.60262;38.8572;0.007328;122.4;14.1855;35.3213;0.86104;11.2224;67.8285;;2.6328;2.1544;2.1356;21.3666;41.3495;376.5465;45.083;11.7437;0.43389;;169.2859;2525.2938;0.52332;0.007328;0.10626;0.16122;0.0916;0.080608;0.10259;0.047632;185.4853;3.139;56.4484;0.15022;0.53861;44.2906;61.6335;15.0938;0.14656;0.72957;312.9722;247.4382;231.2136;3.8295;4.7689;1.738;0.96363;57.3488;44.1544;37.0453;120.4397;10.1331;2.111;87.9172;;0.97267;0.076944;16.9825;13.1271;151.5085;41.1621;0.029312;0.007328;0.76171;705.83;51.7026;600.4795;5128.3006;3.9671;109.9389;0.065952;121.822;21.1999;;;9.5214;2.4058;15.5693
1991;2.4274;4.2283;78.8054;0.4067;5.0629;0.051296;0.21251;117.5057;18.92;0.53128;279.8727;65.7255;51.1657;1.843;11.8553;14.7411;1.2021;96.6471;123.3821;0.4067;0.79213;0.53861;0.17612;5.974;0.19461;13.7351;2.6344;217.2277;0.07328;5.3055;61.2326;0.62654;0.23816;1.3044;0.056431;452.4947;0.098928;;0.20518;0.38472;31.1366;2538.03;56.6541;0.065952;1.0828;0.03664;3.2873;4.3089;17.1823;28.899;3.6976;5.1466;148.8941;3.1326;64.1694;0.33709;0.058624;9.9526;16.1578;77.2948;3.1532;0.065952;;33.9018;2.9571;0.65586;;0.66312;55.2304;426.5009;;0.43602;4.522;0.19786;21.471;1014.1997;4.2095;;83.4011;0.34808;0.10992;;4.9521;1.0259;0.17587;1.1065;0.97613;2.445;28.4627;69.7845;2.1284;616.1025;180.6221;225.9542;45.1853;33.674;36.1486;437.5386;7.7506;1170.0657;9.903;271.741;4.7104;0.021984;;14.9154;18.4945;0.54594;17.7831;8.1149;1.5279;0.37006;42.6192;0.20633;37.8516;12.4658;1.0919;1.0097;0.78472;66.7304;0.15389;0.43407;2.2554;;;0.86837;1.5206;330.1332;;22.3727;12.121;1.3551;0.029312;24.0219;1.0151;4.1367;1.0552;0.12458;1.0725;170.7964;1.758;26.1104;1.9879;0.56963;41.9291;0.007328;117.2266;10.0358;33.8165;0.88302;11.5937;67.4779;;3.1053;2.1691;2.1034;20.7242;43.4712;373.7933;46.9603;17.6453;0.40642;;139.3703;2395.978;0.47179;0.007328;0.10626;0.16854;0.10259;0.084272;0.10626;0.047632;267.3862;3.378;39.9836;0.17221;0.6009;45.0494;53.4379;14.0012;0.15755;0.7065;326.0689;262.0383;240.953;4.137;4.4665;2.0238;0.8757;57.7072;46.1338;42.2007;130.616;9.1224;2.2536;96.7461;;1.0485;0.095264;16.9683;15.3629;157.982;35.6167;0.029312;0.007328;0.7803;632.5366;56.6723;608.5792;5078.8896;4.5275;112.7555;0.065952;115.0525;21.2629;;;9.1286;2.3821;15.8653
1992;1.3795;2.4952;79.8818;0.4067;5.165;0.05496;0.20885;121.2306;5.8599;0.53861;284.9124;60.2041;56.1831;1.8503;10.8738;15.3796;0.97497;88.662;122.5078;0.35541;0.86494;0.46166;0.20538;6.622;0.16033;15.0276;2.7773;218.3833;0.084272;5.2102;57.0104;0.63021;0.21618;1.3484;2.726;467.0374;0.10626;;0.21618;0.4067;32.2023;2653.1921;61.4947;0.065952;1.2902;0.03664;3.7412;3.8435;16.5061;21.0203;3.0463;5.5229;144.619;2.8092;58.3613;0.33709;0.058624;10.8223;21.9596;79.9395;3.3168;0.065952;;24.3705;2.9373;0.64853;;0.74;54.2855;415.7089;;0.4177;4.9176;0.19786;15.277;965.8898;3.6609;;84.9827;0.3261;0.11725;;5.9179;1.0589;0.17954;1.0406;0.88788;2.6931;32.9171;62.4159;2.2743;656.219;203.5774;226.957;58.8893;33.4949;42.083;437.8298;7.7108;1179.7401;11.9831;246.7414;5.4021;0.025648;;29.6469;11.0821;0.59289;14.0798;9.727;1.5865;0.38773;37.025;0.20695;21.2006;12.2322;1.0809;0.98038;0.78527;72.961;0.23083;0.44871;2.3149;0.076944;;0.90501;1.7074;332.7801;0.10259;20.9781;10.9939;1.4833;0.029312;25.118;1.0013;4.8416;1.1505;0.12091;1.2902;170.6302;1.5747;28.1051;2.3736;0.52866;46.2651;0.007328;102.9626;10.9847;34.7347;0.916;11.893;72.015;0.19786;4.1124;2.1911;2.5799;20.9559;48.2938;364.6779;50.8892;26.9966;0.3634;;131.0723;1957.6589;0.47895;0.007328;0.10992;0.15022;0.095264;0.084272;0.10992;0.047632;285.0741;3.4234;43.6843;0.17221;0.45067;48.2127;49.0291;14.0067;0.16122;0.67954;301.3682;282.1943;249.8132;5.106;3.9893;2.0311;0.83539;57.4515;46.0097;42.5611;139.1358;7.2946;2.1763;106.0945;;1.0307;0.069616;19.1042;14.8918;163.9222;31.9954;0.032976;0.007328;0.79827;589.0603;57.7577;593.0927;5182.7067;5.1429;110.9843;0.062288;105.5781;21.3237;;;9.8742;2.4241;16.9174
1993;1.3331;2.3156;81.9424;0.41037;5.7484;0.065952;0.21618;117.7775;2.5736;0.64853;289.2352;60.6354;48.4131;1.7587;14.6098;16.0621;1.0993;76.38;121.4442;0.37739;1.0867;0.53861;0.17303;7.7918;0.2475;12.5794;3.195;228.3332;0.087936;4.9647;57.6756;0.62654;0.22717;1.385;2.8795;467.4064;0.10992;;0.2235;0.40304;34.2594;2835.7955;63.3378;0.069616;1.1619;0.040304;3.891;5.093;16.9598;19.787;4.7026;5.767;138.6373;2.6615;60.6078;0.33709;0.062288;11.6672;24.0874;92.2776;3.9753;0.069616;;18.9104;2.9948;0.58258;;0.74364;56.3526;394.9725;;0.42869;4.9748;0.20885;9.9163;956.2331;4.3107;;84.2964;0.32243;0.12091;;5.5772;1.0882;0.1832;1.0442;0.68546;2.8343;34.7782;63.6328;2.4322;678.112;219.7623;235.5766;63.1298;33.7162;44.2342;430.18;8.0003;1172.6473;11.7741;219.39;6.2152;0.029312;;49.1294;8.5016;0.60755;11.8186;10.355;1.6341;0.42436;38.709;0.21503;16.348;12.3728;1.1798;1.006;0.87914;86.7186;0.19786;0.45969;2.8911;0.084272;;0.92699;1.7734;338.0672;0.10259;15.8458;9.2626;1.2936;0.029312;27.1805;1.0752;5.3018;1.3887;0.11358;1.4698;170.8176;1.8275;27.6995;2.2834;0.60194;44.8134;0.007328;94.8685;10.1236;36.2242;0.93432;13.2247;77.1766;0.19786;3.786;2.1911;2.9141;23.852;48.9292;365.3707;49.3919;30.985;0.25051;;122.8323;1859.4596;0.48241;0.010992;0.11358;0.23083;0.07328;0.10259;0.10992;0.047632;313.3274;3.538;38.0957;0.1832;0.45434;50.8711;46.4842;14.3035;0.17221;0.63922;320.3899;321.8378;241.1952;4.9756;2.7463;2.0384;0.71082;57.4934;43.601;45.2217;152.1717;5.1614;2.425;121.2135;;1.0689;0.084272;17.4118;16.3539;171.0112;27.5175;0.040304;0.007328;0.79792;510.1995;65.5654;578.8422;5283.4376;4.4392;115.6172;0.062288;123.9679;22.7106;;;8.626;2.4672;16.2591
1994;1.2816;1.9126;86.1467;0.4067;3.8656;0.065952;0.21618;122.229;2.7147;0.65952;294.015;61.0024;41.9498;1.7477;14.7556;17.5379;0.74033;62.3679;124.8169;0.37373;1.2223;0.53128;0.20146;8.5925;0.23729;3.2044;3.0301;239.4706;0.098928;4.6899;56.0835;0.64486;0.2345;1.4671;2.8404;482.4366;0.11358;;0.2345;0.4067;37.7401;3010.2424;66.7906;0.069616;1.7691;0.040304;5.2003;4.133;16.2142;21.2867;4.5085;6.0111;132.3761;1.6995;64.6698;0.32976;0.065952;12.3768;13.5385;84.5565;4.5139;0.076944;0.70683;19.734;2.1969;0.57525;;0.7386;61.7162;390.8153;;0.44334;4.3745;0.20885;6.069;939.6303;5.0887;;86.4422;0.29678;0.1429;;6.7508;1.1248;0.1832;1.4583;0.1832;3.1748;31.079;61.9735;2.3733;717.1235;222.8542;263.5204;71.0892;34.8382;47.4745;424.5817;8.191;1227.5668;13.2495;185.8353;6.4204;0.029312;;55.2258;6.1458;0.63319;10.2968;11.1108;1.6744;0.42136;43.753;0.20111;15.7883;11.5639;1.2714;1.2461;0.9047;90.2243;0.19786;0.46766;2.6697;0.084272;;0.9563;1.6232;351.5282;0.10626;12.427;7.9271;1.2567;0.032976;28.5428;1.0572;6.1962;1.5719;0.10992;1.7001;171.4014;1.9704;27.8803;2.5179;0.57992;34.9337;0.007328;86.7195;10.2482;38.089;0.9673;15.0535;84.0193;0.19786;4.1784;2.1801;3.4043;23.7202;54.1233;360.4168;50.2464;30.7044;0.34448;;121.9615;1641.3992;0.46103;0.010992;0.12091;0.25648;0.069616;0.12091;0.11358;0.047632;307.4732;3.8367;37.0401;0.20152;0.47998;61.3446;43.8787;14.6427;0.1832;0.62822;338.6248;344.2638;253.6614;5.4358;3.785;2.0417;1.0809;59.9538;42.6759;46.1898;157.8755;2.3474;2.0636;134.5066;;1.0049;0.0916;17.0232;15.7761;167.4331;33.4425;0.043968;0.007328;0.70841;419.2663;72.6046;575.1079;5377.0327;4.0299;107.98;0.062288;129.5309;26.0186;;;8.9826;2.393;17.6845
1995;1.2305;2.0665;94.982;0.42502;10.9483;0.065952;0.2235;127.7649;3.4323;0.70715;305.4102;64.0653;33.3122;1.7404;14.7871;21.0416;0.80628;57.3755;125.9565;0.37739;1.2736;0.53128;0.23614;9.799;0.23482;3.4028;3.0448;255.5835;0.10992;4.7852;57.7164;0.62387;0.23816;1.5403;3.2035;494.9203;0.12091;;0.2345;0.42136;41.09;3265.057;58.7754;0.07328;1.1859;0.040304;4.8019;6.1155;16.9263;25.5862;4.4615;5.8823;131.6083;2.1037;61.5816;0.32976;0.080608;15.7714;22.6979;94.8884;4.9982;0.084272;0.79041;18.0488;2.5057;0.57158;;0.75389;58.1454;397.4555;;0.43235;4.6063;0.21618;2.2914;939.1767;5.1542;;86.9791;0.32243;0.15022;;7.0793;1.1652;0.1832;1.5719;0.8757;3.7825;31.2664;61.6908;2.4767;762.3338;226.5452;271.1475;74.0842;35.8527;49.8652;448.3329;9.1734;1239.9282;13.2077;178.2075;7.4055;0.029312;;54.589;4.511;0.66983;9.0903;12.2546;1.7074;0.42436;45.6911;0.2042;15.0845;9.1703;1.2311;1.2864;0.90696;113.9337;0.24915;0.47132;2.4603;0.087936;;1.0149;1.8283;331.5966;0.11358;11.4054;7.8994;1.3273;0.032976;29.157;1.1085;6.9063;1.6195;0.10626;2.4064;172.9662;2.0642;28.0018;2.7548;0.5616;33.4172;0.007328;81.2599;10.6366;38.7075;0.94531;15.7188;83.6151;0.19786;3.6541;2.0592;3.9371;24.6276;59.9488;362.7613;54.4508;31.7171;0.35608;;127.0329;1612.9283;0.45367;0.010992;0.12824;0.30778;0.069616;0.12824;0.11725;0.047632;234.712;3.429;39.1408;0.19786;0.24915;41.8418;44.3224;15.2543;0.19053;0.5879;361.6414;373.9924;267.4167;5.8155;3.9029;2.06;1.0626;59.3662;43.4128;41.2002;165.6482;2.4429;2.4337;156.6361;;1.1747;0.095264;16.4602;15.5488;180.903;33.9322;0.047632;0.007328;0.92648;389.8646;70.0127;566.8113;5438.9057;4.5585;102.6637;0.065952;132.8747;28.5235;;;10.3522;2.141;15.0294
1996;1.1649;1.9932;96.7861;0.45434;10.4248;0.069616;0.23816;134.7621;2.5927;0.72547;312.3616;67.4216;31.2426;1.7294;15.5896;21.4921;0.82474;58.2148;129.4966;0.30778;1.2311;0.52762;0.28519;9.7745;0.21966;4.2385;2.7553;281.1948;0.11725;4.7413;58.108;0.70446;0.24182;1.5972;3.5924;510.7367;0.1429;;0.2345;0.43602;47.6284;3408.3466;59.7709;0.076944;1.34;0.047632;4.6867;7.3353;17.5153;26.8725;4.1735;6.2332;134.9625;2.3118;74.8299;0.33342;0.07328;17.1977;24.0255;93.5675;4.4147;0.12824;0.86067;18.7595;2.7947;0.6009;;0.81317;64.0624;413.1973;;0.43602;4.7537;0.21984;4.0551;959.1241;5.4686;;89.132;0.36274;0.15389;;6.5703;1.2348;0.1832;1.6561;1.0186;3.8394;28.9096;63.2575;2.532;826.1468;255.0688;274.0078;69.2844;37.4691;51.9358;442.2774;9.6876;1251.8676;13.8264;163.5438;9.155;0.029312;;49.9136;5.6642;0.7509;9.1703;12.7527;1.7367;0.43467;43.7968;0.20596;15.7576;9.2199;1.407;1.3406;0.90426;112.8995;0.28946;0.49329;2.5784;0.087936;;1.0626;1.9492;345.7661;0.11358;11.6871;8.0233;1.553;0.03664;29.9264;1.0904;7.2036;1.7221;0.10259;2.4553;182.1483;2.1851;29.2951;2.8474;0.64217;36.7882;0.007328;71.6379;11.6845;41.8303;1.0369;14.8827;93.5374;0.19786;4.4468;2.1874;3.7188;24.184;61.2537;377.4078;51.7032;32.2038;0.36737;;130.0959;1580.1608;0.46486;0.010992;0.1319;0.32243;0.069616;0.1319;0.12458;0.047632;258.2636;3.6632;45.8247;0.2345;0.29312;49.3492;44.1861;15.9166;0.19786;0.56792;363.6731;401.5296;254.7953;6.9701;4.0276;2.082;0.79142;63.3028;44.0988;42.3223;173.7284;2.8225;2.5275;173.7286;;1.2652;0.076944;20.7683;16.5808;199.5219;30.6037;0.047632;0.007328;1.0179;351.4088;72.7748;588.4442;5626.9119;5.4044;105.546;0.084272;122.3396;34.0229;;;10.5269;1.837;14.8906
1997;1.0841;1.5316;87.0043;0.46533;7.3478;0.069616;0.25648;137.6415;3.2662;0.75845;320.7951;67.2328;29.8049;1.5279;17.2877;23.1262;0.89094;58.7206;124.0018;0.38838;1.1982;0.52395;0.37675;10.8831;0.22987;8.3653;2.7993;296.5854;0.11725;4.9317;55.8613;0.80269;0.24915;1.5251;3.1564;524.7892;0.14656;;0.24549;0.45067;55.4502;3414.5493;64.4965;0.080608;1.9216;0.047632;4.9167;7.0127;18.5759;24.5091;4.3676;6.321;130.7331;1.8754;65.4296;0.34808;0.080608;17.9046;18.2051;107.512;5.4166;0.30411;0.76768;18.3173;2.9793;0.5899;;0.78246;62.723;406.1874;;0.45434;4.7742;0.2235;4.4251;931.2301;6.2042;;93.8209;0.38472;0.16854;;7.5016;1.2897;0.20152;1.8064;1.3484;3.9755;30.4975;61.8131;2.6275;859.9247;280.7363;267.0993;68.0788;38.8052;54.8639;448.0449;10.0682;1245.112;14.0736;155.5722;8.1198;0.029312;;54.6706;5.573;0.79115;8.646;15.0994;1.7697;0.45366;44.7065;0.21837;15.1822;8.5731;1.4876;1.6234;0.94737;120.817;0.32976;0.52857;2.5862;0.087936;;1.0772;1.9969;368.6448;0.12091;7.3013;7.6884;1.6698;0.032976;30.3983;1.1705;7.4445;1.7697;0.10259;2.7595;175.0196;1.8187;31.2893;3.1136;0.64582;41.0096;0.007328;65.1583;10.578;41.97;0.8647;15.2481;93.7876;0.19786;4.6296;2.5758;4.128;27.2456;70.0626;367.3853;54.5976;37.3935;0.44975;;121.0747;1475.1572;0.4816;0.010992;0.1429;0.30411;0.047632;0.1319;0.12824;0.047632;215.7967;3.1823;49.2646;0.34075;0.2235;58.0718;44.3137;16.2449;0.20518;0.53861;385.4583;427.7861;267.3064;7.5196;4.94;2.1039;1.1468;58.2126;43.0373;45.3772;186.9362;2.1489;2.823;179.0595;;0.87899;0.098928;20.5602;16.7478;212.0056;30.5559;0.05496;0.007328;1.0607;340.2427;73.1007;562.5613;5703.707;5.5132;106.6296;0.084272;133.4835;44.3092;;;11.316;2.3537;14.2942
1998;1.0292;1.7441;106.6208;0.49098;7.2696;0.076944;0.27114;139.4519;3.3966;0.80608;334.6845;66.8751;31.6655;1.9089;18.3655;23.1983;1.1001;57.3725;130.2271;0.37006;1.1944;0.52029;0.36716;10.9238;0.012688;10.5513;3.3416;308.3055;0.12091;5.1589;53.2752;0.85763;0.24915;1.9354;3.1371;533.6398;0.15755;;0.24915;0.46166;56.8073;3265.9026;65.1577;0.087936;0.35541;0.047632;5.2355;6.5842;19.2789;24.3574;0.24108;6.6146;125.3177;1.6548;61.1995;0.34075;0.076944;18.2485;22.3147;121.4653;5.7317;0.2235;0.58581;16.8172;3.1474;0.62288;;0.76108;59.3733;425.465;;0.45067;4.9573;0.24182;4.9386;923.2759;6.2459;;98.6415;0.35907;0.17587;;8.6394;1.363;0.17221;1.8283;1.2311;4.7657;38.924;61.415;2.6479;877.9349;215.97;306.0063;72.1015;40.7088;56.0093;460.0492;9.694;1205.4163;14.2519;150.5412;9.896;0.029312;;51.5606;5.9131;0.82042;8.2807;16.2862;1.8027;0.48297;45.1589;0.22923;16.0397;7.6951;1.5572;1.7107;0.92206;114.2375;0.30045;0.76944;2.5451;0.0916;;1.0699;2.1691;388.3569;0.12091;6.4438;7.6875;1.7576;0.029312;31.2927;1.1124;8.0371;1.8173;0.098928;2.2233;176.1369;1.81;29.8828;3.3919;0.69711;37.7453;0.007328;58.7688;12.5712;42.2202;1.4619;16.2998;96.7421;0.19786;5.9005;2.8616;4.3839;27.572;68.253;339.1329;59.1384;32.271;0.38995;;107.5615;1458.1571;0.48139;0.010992;0.15022;0.29312;0.05496;0.16122;0.1319;0.047632;207.2305;3.3331;51.8821;0.43235;0.25648;48.3564;44.0731;15.9611;0.21618;0.51296;377.3122;363.5483;276.0216;7.7363;4.2853;2.1039;1.1652;58.6967;44.6148;49.7575;197.6516;2.4944;2.4815;159.2394;;1.29;0.087936;19.7511;17.8085;212.0403;32.025;0.058624;0.007328;1.2093;328.5789;80.6825;567.8137;5751.052;5.6401;118.4989;0.080608;166.8022;46.5548;;;12.0635;2.2792;14.1396
